Age,Workclass,fnlwgt,maritial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hour_per_week,native country,class,education
39, State_gov,77516, Never_married, Adm_clerical, Not_in_family, White, Male,2174,0,40, United_States,<=50, Bachelors
50, Self_emp_not_inc,83311, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,13, United_States,<=50, Bachelors
28, Private,338409, Married_civ_spouse, Prof_specialty, Wife, Black, Female,0,0,40, Cuba,<=50, Bachelors
42, Private,159449, Married_civ_spouse, Exec_managerial, Husband, White, Male,5178,0,40, United_States,>50K, Bachelors
30, State_gov,141297, Married_civ_spouse, Prof_specialty, Husband, Asian_Pac_Islander, Male,0,0,40, India,>50K, Bachelors
23, Private,122272, Never_married, Adm_clerical, Own_child, White, Female,0,0,30, United_States,<=50, Bachelors
56, Local_gov,216851, Married_civ_spouse, Tech_support, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
45, Private,386940, Divorced, Exec_managerial, Own_child, White, Male,0,1408,40, United_States,<=50, Bachelors
53, Self_emp_not_inc,88506, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,40, United_States,<=50, Bachelors
24, Private,172987, Married_civ_spouse, Tech_support, Husband, White, Male,0,0,50, United_States,<=50, Bachelors
57, Federal_gov,337895, Married_civ_spouse, Prof_specialty, Husband, Black, Male,0,0,40, United_States,>50K, Bachelors
50, Federal_gov,251585, Divorced, Exec_managerial, Not_in_family, White, Male,0,0,55, United_States,>50K, Bachelors
30, Private,59496, Married_civ_spouse, Sales, Husband, White, Male,2407,0,40, United_States,<=50, Bachelors
31, Private,309974, Separated, Sales, Own_child, Black, Female,0,0,40, United_States,<=50, Bachelors
29, Self_emp_not_inc,162298, Married_civ_spouse, Sales, Husband, White, Male,0,0,70, United_States,>50K, Bachelors
52, Private,276515, Married_civ_spouse, Other_service, Husband, White, Male,0,0,40, Cuba,<=50, Bachelors
34, Local_gov,226296, Married_civ_spouse, Protective_serv, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
44, Private,198282, Married_civ_spouse, Exec_managerial, Husband, White, Male,15024,0,60, United_States,>50K, Bachelors
24, Private,432376, Never_married, Sales, Other_relative, White, Male,0,0,40, United_States,<=50, Bachelors
40, Private,118853, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,60, United_States,<=50, Bachelors
30, Private,77143, Never_married, Exec_managerial, Own_child, Black, Male,0,0,40, Germany,<=50, Bachelors
29, State_gov,267989, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,50, United_States,>50K, Bachelors
47, Private,287828, Married_civ_spouse, Exec_managerial, Wife, White, Female,0,0,40, United_States,>50K, Bachelors
37, Private,254202, Married_civ_spouse, Sales, Husband, White, Male,0,0,50, United_States,<=50, Bachelors
33, Private,163003, Never_married, Exec_managerial, Other_relative, Asian_Pac_Islander, Female,0,0,40, Philippines,<=50, Bachelors
23, Private,214542, Never_married, Handlers_cleaners, Not_in_family, White, Male,0,0,40, United_States,<=50, Bachelors
42, Private,228456, Separated, Other_service, Other_relative, Black, Male,0,0,50, United_States,<=50, Bachelors
27, Private,428030, Never_married, Craft_repair, Not_in_family, White, Male,0,0,50, United_States,<=50, Bachelors
28, State_gov,149624, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
33, Private,37274, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,65, United_States,<=50, Bachelors
41, Self_emp_not_inc,143129, Divorced, Exec_managerial, Not_in_family, White, Female,0,0,40, United_States,<=50, Bachelors
53, ?,135105, Divorced, ?, Not_in_family, White, Female,0,0,50, United_States,<=50, Bachelors
41, Local_gov,523910, Married_civ_spouse, Craft_repair, Husband, Black, Male,0,0,40, United_States,<=50, Bachelors
41, Federal_gov,130760, Married_civ_spouse, Tech_support, Husband, White, Male,0,0,24, United_States,<=50, Bachelors
51, Private,259323, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,50, United_States,>50K, Bachelors
36, Private,128757, Married_civ_spouse, Other_service, Husband, Black, Male,7298,0,36, United_States,>50K, Bachelors
37, Private,635913, Never_married, Exec_managerial, Not_in_family, Black, Male,0,0,60, United_States,>50K, Bachelors
38, Private,182609, Married_civ_spouse, Sales, Husband, White, Male,0,0,50, Poland,<=50, Bachelors
45, Private,109434, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,55, United_States,<=50, Bachelors
